M,CD0
0.11,0.160056
0.12,0.159839
0.13,0.159623
0.14,0.159407
0.15,0.15919
0.16,0.158974
0.17,0.158758
0.18,0.158541
0.19,0.158325
0.2,0.158108
0.21,0.157892
0.22,0.157676
0.23,0.157459
0.24,0.157243
0.25,0.157027
0.26,0.15681
0.27,0.156594
0.28,0.156378
0.29,0.156161
0.3,0.155945
0.31,0.155729
0.32,0.155512
0.33,0.155296
0.34,0.15508
0.35,0.154863
0.36,0.154647
0.37,0.154431
0.38,0.154214
0.39,0.153998
0.4,0.153782
0.41,0.153565
0.42,0.153349
0.43,0.153132
0.44,0.152916
0.45,0.1527
0.46,0.152483
0.47,0.152267
0.48,0.152051
0.49,0.151834
0.5,0.151618
0.51,0.151402
0.52,0.151185
0.53,0.150969
0.54,0.150772
0.55,0.150591
0.56,0.15041
0.57,0.150229
0.58,0.150048
0.59,0.149867
0.6,0.149686
0.61,0.149506
0.62,0.149325
0.63,0.149144
0.64,0.148963
0.65,0.148782
0.66,0.148601
0.67,0.14842
0.68,0.148239
0.69,0.148058
0.7,0.147878
0.71,0.147697
0.72,0.147516
0.73,0.147335
0.74,0.147154
0.75,0.146973
0.76,0.146792
0.77,0.146611
0.78,0.14643
0.79,0.14625
0.8,0.146069
0.81,0.145888
0.82,0.1463
0.83,0.146946
0.84,0.147592
0.85,0.148239
0.86,0.148885
0.87,0.150571
0.88,0.152624
0.89,0.154678
0.9,0.156731
0.91,0.159959
0.92,0.163518
0.93,0.167881
0.94,0.173379
0.95,0.181049
0.96,0.190844
0.97,0.235493
0.98,0.271189
0.99,0.296823
1,0.316749
1.01,0.333339
1.02,0.342813
1.03,0.351428
1.04,0.357873
1.05,0.364318
1.06,0.370763
1.07,0.375044
1.08,0.379023
1.09,0.383002
1.1,0.386982
1.11,0.390506
1.12,0.393689
1.13,0.396873
1.14,0.400056
1.15,0.403075
1.16,0.405599
1.17,0.408123
1.18,0.410647
1.19,0.412955
1.2,0.414837
1.21,0.41672
1.22,0.418603
1.23,0.420063
1.24,0.421126
1.25,0.422189
1.26,0.423251
1.27,0.424314
1.28,0.425376
1.29,0.426439
1.3,0.427502
1.31,0.42851
1.32,0.429476
1.33,0.430442
1.34,0.431408
1.35,0.432374
1.36,0.43334
1.37,0.434306
1.38,0.435272
1.39,0.436055
1.4,0.436601
1.41,0.437147
