M,FL,W,D,
0,NaN,8000,NaN,
0.01,NaN,8000,NaN,
0.02,NaN,8000,NaN,
0.03,NaN,8000,NaN,
0.04,NaN,8000,NaN,
0.05,NaN,8000,NaN,
0.06,NaN,8000,NaN,
0.07,NaN,8000,NaN,
0.08,NaN,8000,NaN,
0.09,NaN,8000,NaN,
0.1,NaN,8000,NaN,
0.11,NaN,8000,NaN,
0.12,NaN,8000,NaN,
0.13,NaN,8000,NaN,
0.14,NaN,8000,NaN,
0.15,NaN,8000,NaN,
0.16,NaN,8000,NaN,
0.17,NaN,8000,NaN,
0.18,0,8000,NaN,
0.19,0,8000,NaN,
0.2,0,8000,NaN,
0.21,0,8000,6.465045296,
0.22,0,8000,5.648796629,
0.23,0,8000,5.015369871,
0.24,0,8000,4.534072292,
0.25,0,8000,4.162645788,
0.26,0,8000,3.866394228,
0.27,0,8000,3.626190261,
0.28,0,8000,3.431358154,
0.29,0,8000,3.274780753,
0.3,0,8000,3.151565014,
0.31,0,8000,3.059486827,
0.32,0,8000,2.994542791,
0.33,0,8000,2.95317433,
0.34,0,8000,2.931822867,
0.35,0,8000,2.928264289,
0.36,0,8000,2.939829666,
0.37,0,8000,2.964739707,
0.38,0,8000,3.001659946,
0.39,0,8000,3.049700739,
0.4,0,8000,3.107972443,
0.41,0,8000,3.175585411,
0.42,0,8000,3.252094823,
0.43,0,8000,3.3379455,
0.44,0,8000,3.434027087,
0.45,0,8000,3.540339584,
0.46,0,8000,3.657327812,
0.47,0,8000,3.784102128,
0.48,0,8000,3.920662532,
0.49,0,8000,4.066119379,
0.5,0,8000,4.220027846,
0.51,0,8000,4.381498291,
0.52,0,8000,4.549196246,
0.53,0,8000,4.722676889,
0.54,0,8000,4.901050576,
0.55,0,8000,5.083427662,
0.56,0,8000,5.27025297,
0.57,0,8000,5.460636855,
0.58,0,8000,5.654579317,
0.59,0,8000,5.851635535,
0.6,0,8000,6.051360685,
0.61,0,8000,6.254644413,
0.62,0,8000,6.461486718,
0.63,0,8000,6.672777245,
0.64,0,8000,6.888960816,
0.65,0,8000,7.110482252,
0.66,0,8000,7.337786377,
0.67,0,8000,7.569983545,
0.68,0,8000,7.806628935,
0.69,0,8000,8.047277724,
0.7,0,8000,8.291040269,
0.71,0,8000,8.53613728,
0.72,0,8000,8.782568757,
0.73,0,8000,9.029000235,
0.74,0,8000,9.27498689,
0.75,0,8000,9.519639079,
0.76,0,8000,9.762956801,
0.77,0,8000,10.00316077,
0.78,0,8000,10.2406958,
0.79,0,8000,10.4755619,
0.8,0,8000,10.70909354,
0.81,0,8000,10.94262517,
0.82,0,8000,11.1779361,
0.83,0,8000,11.41769524,
0.84,0,8000,11.66590601,
0.85,0,8000,11.92924073,
0.86,0,8000,12.22148889,
0.87,0,8000,12.568895,
0.88,0,8000,13.01905502,
0.89,0,8000,13.62445799,
0.9,0,8000,14.39266586,
0.91,0,8000,15.34769904,
0.92,0,8000,16.65325208,
0.93,0,8000,18.19456087,
0.94,0,8000,19.73409037,
0.95,0,8000,21.32788818,
0.96,0,8000,22.74687087,
0.97,0,8000,24.12270582,
0.98,0,8000,25.55369871,
0.99,0,8000,27.21510949,
1,0,8000,NaN,
1.01,0,8000,NaN,
1.02,0,8000,NaN,
1.03,0,8000,NaN,
1.04,NaN,8000,NaN,
1.05,NaN,8000,NaN,
1.06,NaN,8000,NaN,
1.07,NaN,8000,NaN,
1.08,NaN,8000,NaN,
1.09,NaN,8000,NaN,
1.1,NaN,8000,NaN,
1.11,NaN,8000,NaN,
1.12,NaN,8000,NaN,
1.13,NaN,8000,NaN,
1.14,NaN,8000,NaN,
1.15,NaN,8000,NaN,
1.16,NaN,8000,NaN,
1.17,NaN,8000,NaN,
1.18,NaN,8000,NaN,
1.19,NaN,8000,NaN,
1.2,NaN,8000,NaN,
1.21,NaN,8000,NaN,
1.22,NaN,8000,NaN,
1.23,NaN,8000,NaN,
1.24,NaN,8000,NaN,
1.25,NaN,8000,NaN,
0,NaN,8000,NaN,
0.01,NaN,8000,NaN,
0.02,NaN,8000,NaN,
0.03,NaN,8000,NaN,
0.04,NaN,8000,NaN,
0.05,NaN,8000,NaN,
0.06,NaN,8000,NaN,
0.07,NaN,8000,NaN,
0.08,NaN,8000,NaN,
0.09,NaN,8000,NaN,
0.1,NaN,8000,NaN,
0.11,NaN,8000,NaN,
0.12,NaN,8000,NaN,
0.13,NaN,8000,NaN,
0.14,NaN,8000,NaN,
0.15,NaN,8000,NaN,
0.16,NaN,8000,NaN,
