M,FL,Setting,Ta
0,NaN,Max,NaN
0.01,NaN,Max,NaN
0.02,NaN,Max,NaN
0.03,NaN,Max,NaN
0.04,NaN,Max,NaN
0.05,NaN,Max,NaN
0.06,NaN,Max,NaN
0.07,NaN,Max,NaN
0.08,NaN,Max,NaN
0.09,NaN,Max,NaN
0.1,NaN,Max,NaN
0.11,NaN,Max,NaN
0.12,NaN,Max,NaN
0.13,NaN,Max,NaN
0.14,NaN,Max,NaN
0.15,NaN,Max,NaN
0.16,NaN,Max,NaN
0.17,NaN,Max,NaN
0.18,0,Max,26.71023633
0.19,0,Max,26.80142488
0.2,0,Max,26.89261342
0.21,0,Max,26.98380196
0.22,0,Max,27.07454568
0.23,0,Max,27.16573423
0.24,0,Max,27.25692277
0.25,0,Max,27.34811131
0.26,0,Max,27.43974468
0.27,0,Max,27.53093322
0.28,0,Max,27.62256659
0.29,0,Max,27.71419995
0.3,0,Max,27.80583332
0.31,0,Max,27.89746668
0.32,0,Max,27.98910005
0.33,0,Max,28.08117823
0.34,0,Max,28.17370124
0.35,0,Max,28.26577943
0.36,0,Max,28.35874726
0.37,0,Max,28.4517151
0.38,0,Max,28.54557257
0.39,0,Max,28.63987487
0.4,0,Max,28.73551163
0.41,0,Max,28.83203804
0.42,0,Max,28.93034374
0.43,0,Max,29.02998391
0.44,0,Max,29.13184818
0.45,0,Max,29.23504692
0.46,0,Max,29.34046977
0.47,0,Max,29.44811674
0.48,0,Max,29.55798781
0.49,0,Max,29.66963817
0.5,0,Max,29.78351265
0.51,0,Max,29.89961123
0.52,0,Max,30.01793393
0.53,0,Max,30.13759109
0.54,0,Max,30.25947236
0.55,0,Max,30.38357774
0.56,0,Max,30.50901759
0.57,0,Max,30.63712638
0.58,0,Max,30.76701445
0.59,0,Max,30.89912663
0.6,0,Max,31.03390774
0.61,0,Max,31.17180261
0.62,0,Max,31.31281124
0.63,0,Max,31.45826809
0.64,0,Max,31.60861798
0.65,0,Max,31.76652984
0.66,0,Max,31.9342278
0.67,0,Max,32.1148256
0.68,0,Max,32.31277146
0.69,0,Max,32.53206878
0.7,0,Max,32.77271757
0.71,0,Max,33.01781458
0.72,0,Max,33.2428946
0.73,0,Max,33.44084046
0.74,0,Max,33.61565557
0.75,0,Max,33.77134333
0.76,0,Max,33.91057266
0.77,0,Max,34.03601251
0.78,0,Max,34.15077663
0.79,0,Max,34.25530984
0.8,0,Max,34.35183625
0.81,0,Max,34.4412455
0.82,0,Max,34.52398242
0.83,0,Max,34.60049183
0.84,0,Max,34.67121856
0.85,0,Max,34.73616259
0.86,0,Max,34.79532394
0.87,0,Max,34.84914742
0.88,0,Max,34.89718822
0.89,0,Max,34.93944632
0.9,0,Max,34.97592174
0.91,0,Max,35.00616965
0.92,0,Max,35.03107969
0.93,0,Max,35.05065186
0.94,0,Max,35.06622064
0.95,0,Max,35.07734119
0.96,0,Max,35.08490317
0.97,0,Max,35.08890657
0.98,0,Max,35.09068586
0.99,0,Max,35.09024103
1,0,Max,35.08801692
1.01,0,Max,35.08401352
1.02,0,Max,35.0795653
1.03,0,Max,35.07467226
1.04,NaN,Max,NaN
1.05,NaN,Max,NaN
1.06,NaN,Max,NaN
1.07,NaN,Max,NaN
1.08,NaN,Max,NaN
1.09,NaN,Max,NaN
1.1,NaN,Max,NaN
1.11,NaN,Max,NaN
1.12,NaN,Max,NaN
1.13,NaN,Max,NaN
1.14,NaN,Max,NaN
1.15,NaN,Max,NaN
1.16,NaN,Max,NaN
1.17,NaN,Max,NaN
1.18,NaN,Max,NaN
1.19,NaN,Max,NaN
1.2,NaN,Max,NaN
1.21,NaN,Max,NaN
1.22,NaN,Max,NaN
1.23,NaN,Max,NaN
1.24,NaN,Max,NaN
1.25,NaN,Max,NaN
0,NaN,Max,NaN
0.01,NaN,Max,NaN
0.02,NaN,Max,NaN
0.03,NaN,Max,NaN
0.04,NaN,Max,NaN
0.05,NaN,Max,NaN
0.06,NaN,Max,NaN
0.07,NaN,Max,NaN
0.08,NaN,Max,NaN
