M    ,CL   ,K
0.21 ,0.00 ,0.124752
0.22 ,0.00 ,0.124754
0.23 ,0.00 ,0.124756
0.24 ,0.00 ,0.124758
0.25 ,0.00 ,0.124759
0.26 ,0.00 ,0.124761
0.27 ,0.00 ,0.124763
0.28 ,0.00 ,0.124765
0.29 ,0.00 ,0.124767
0.3  ,0.00 ,0.124768
0.31 ,0.00 ,0.12477
0.32 ,0.00 ,0.124772
0.33 ,0.00 ,0.124774
0.34 ,0.00 ,0.124775
0.35 ,0.00 ,0.124777
0.36 ,0.00 ,0.124779
0.37 ,0.00 ,0.124781
0.38 ,0.00 ,0.124783
0.39 ,0.00 ,0.124784
0.4  ,0.00 ,0.124786
0.41 ,0.00 ,0.124788
0.42 ,0.00 ,0.12479
0.43 ,0.00 ,0.124791
0.44 ,0.00 ,0.124793
0.45 ,0.00 ,0.124795
0.46 ,0.00 ,0.124797
0.47 ,0.00 ,0.124799
0.48 ,0.00 ,0.1248
0.49 ,0.00 ,0.124802
0.5  ,0.00 ,0.124804
0.51 ,0.00 ,0.124806
0.52 ,0.00 ,0.124807
0.53 ,0.00 ,0.124809
0.54 ,0.00 ,0.124811
0.55 ,0.00 ,0.124813
0.56 ,0.00 ,0.124815
0.57 ,0.00 ,0.124816
0.58 ,0.00 ,0.124818
0.59 ,0.00 ,0.12482
0.6  ,0.00 ,0.124822
0.61 ,0.00 ,0.124823
0.62 ,0.00 ,0.124825
0.63 ,0.00 ,0.124827
0.64 ,0.00 ,0.124829
0.65 ,0.00 ,0.124831
0.66 ,0.00 ,0.124832
0.67 ,0.00 ,0.124834
0.68 ,0.00 ,0.124836
0.69 ,0.00 ,0.124838
0.7  ,0.00 ,0.124839
0.71 ,0.00 ,0.124841
0.72 ,0.00 ,0.124843
0.73 ,0.00 ,0.124845
0.74 ,0.00 ,0.124846
0.75 ,0.00 ,0.124848
0.76 ,0.00 ,0.12485
0.77 ,0.00 ,0.124852
0.78 ,0.00 ,0.124854
0.79 ,0.00 ,0.124855
0.8  ,0.00 ,0.124857
0.81 ,0.00 ,0.124859
0.82 ,0.00 ,0.124861
0.83 ,0.00 ,0.124862
0.84 ,0.00 ,0.124864
0.85 ,0.00 ,0.124866
0.86 ,0.00 ,0.124868
0.87 ,0.00 ,0.12487
0.88 ,0.00 ,0.124871
0.89 ,0.00 ,0.125144
0.9  ,0.00 ,0.125498
0.91 ,0.00 ,0.125851
0.92 ,0.00 ,0.126205
0.93 ,0.00 ,0.126875
0.94 ,0.00 ,0.127655
0.95 ,0.00 ,0.128436
0.96 ,0.00 ,0.129217
0.97 ,0.00 ,0.130193
0.98 ,0.00 ,0.131251
0.99 ,0.00 ,0.132621
1    ,0.00 ,0.13414
1.01 ,0.00 ,0.136155
1.02 ,0.00 ,0.138301
1.03 ,0.00 ,0.141088
1.04 ,0.00 ,0.144048
1.05 ,0.00 ,0.147008
1.06 ,0.00 ,0.149969
1.07 ,0.00 ,0.154162
1.08 ,0.00 ,0.15855
1.09 ,0.00 ,0.162938
1.1  ,0.00 ,0.167326
1.11 ,0.00 ,0.171382
1.12 ,0.00 ,0.174829
1.13 ,0.00 ,0.178277
1.14 ,0.00 ,0.181724
1.15 ,0.00 ,0.185171
1.16 ,0.00 ,0.188619
1.17 ,0.00 ,0.192066
1.18 ,0.00 ,0.195514
1.19 ,0.00 ,0.198961
1.2  ,0.00 ,0.201745
1.21 ,0.00 ,0.204187
1.22 ,0.00 ,0.206628
1.23 ,0.00 ,0.20907
1.24 ,0.00 ,0.211512
1.25 ,0.00 ,0.213953
1.26 ,0.00 ,0.216395
1.27 ,0.00 ,0.218837
1.28 ,0.00 ,0.221279
1.29 ,0.00 ,0.22372
1.3  ,0.00 ,0.226162
1.31 ,0.00 ,0.228604
1.32 ,0.00 ,0.231046
1.33 ,0.00 ,0.233487
1.34 ,0.00 ,0.235929
1.35 ,0.00 ,0.238371
1.36 ,0.00 ,0.240812
1.37 ,0.00 ,0.243254
1.38 ,0.00 ,0.245696
1.39 ,0.00 ,0.248138
1.4  ,0.00 ,0.250579
1.41 ,0.00 ,0.253021
0.21 ,0.35 ,0.124752
0.22 ,0.35 ,0.124754
0.23 ,0.35 ,0.124756
0.24 ,0.35 ,0.124758
0.25 ,0.35 ,0.124759
0.26 ,0.35 ,0.124761
0.27 ,0.35 ,0.124763
0.28 ,0.35 ,0.124765
0.29 ,0.35 ,0.124767
0.3  ,0.35 ,0.124768
0.31 ,0.35 ,0.12477
0.32 ,0.35 ,0.124772
0.33 ,0.35 ,0.124774
0.34 ,0.35 ,0.124775
0.35 ,0.35 ,0.124777
0.36 ,0.35 ,0.124779
0.37 ,0.35 ,0.124781
0.38 ,0.35 ,0.124783
0.39 ,0.35 ,0.124784
0.4  ,0.35 ,0.124786
0.41 ,0.35 ,0.124788
0.42 ,0.35 ,0.12479
0.43 ,0.35 ,0.124791
0.44 ,0.35 ,0.124793
0.45 ,0.35 ,0.124795
0.46 ,0.35 ,0.124797
0.47 ,0.35 ,0.124799
0.48 ,0.35 ,0.1248
0.49 ,0.35 ,0.124802
0.5  ,0.35 ,0.124804
0.51 ,0.35 ,0.124806
0.52 ,0.35 ,0.124807
0.53 ,0.35 ,0.124809
0.54 ,0.35 ,0.124811
0.55 ,0.35 ,0.124813
0.56 ,0.35 ,0.124815
0.57 ,0.35 ,0.124816
0.58 ,0.35 ,0.124818
0.59 ,0.35 ,0.12482
0.6  ,0.35 ,0.124822
0.61 ,0.35 ,0.124823
0.62 ,0.35 ,0.124825
0.63 ,0.35 ,0.124827
0.64 ,0.35 ,0.124829
0.65 ,0.35 ,0.124831
0.66 ,0.35 ,0.124832
0.67 ,0.35 ,0.124834
0.68 ,0.35 ,0.124836
0.69 ,0.35 ,0.124838
0.7  ,0.35 ,0.124839
0.71 ,0.35 ,0.124841
0.72 ,0.35 ,0.124843
0.73 ,0.35 ,0.124845
0.74 ,0.35 ,0.124846
0.75 ,0.35 ,0.124848
0.76 ,0.35 ,0.12485
0.77 ,0.35 ,0.124852
0.78 ,0.35 ,0.124854
